hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
Tea Pea,4.2 • 32 mins,"Italian, Beverages, Desserts, Snacks, Fast Food, Chaat, American",Borivali West, ,4.2,32.0,italian,0.0,0.0,NONE,Yes
Wedeshi Canteen,2 • 29 mins,"Waffle, Desserts",BORIVALI EAST, ,,29.0,waffle,0.0,0.0,NONE,Yes
Pizza Mania,4.1 • 47 mins,"Pizzas, Fast Food",Jog Gor East, ,4.1,47.0,pizzas,0.0,0.0,NONE,Yes
Miami Shakes & More,3.8 • 33 mins,"Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,3.8,33.0,desserts,0.0,175.0,ABOVE,Yes
Chinese Adda,3.4 • 44 mins,"Chinese, Fast Food, Italian",Dahisar, ,3.4,44.0,chinese,0.0,0.0,NONE,Yes
BlackBun,4.3 • 36 mins,Bakery,Malad East, 20% OFF UPTO ₹50,4.3,36.0,bakery,20.0,50.0,UPTO,Yes
Subhash Paan Bhandar,4.4 • 34 mins,Indian,Kandivali West, ,4.4,34.0,indian,0.0,0.0,NONE,Yes
MCF - V Kitchen,4.2 • 39 mins,"Indian, Chinese",Borivali West, ,4.2,39.0,indian,0.0,0.0,NONE,Yes
Shegaon Kachori - Maha 203,4.7 • 34 mins,Snacks,Malad Kan West, ,4.7,34.0,snacks,0.0,0.0,NONE,Yes
Pooja Malai Gola,3.9 • 30 mins,Desserts,Malad East, ,3.9,30.0,desserts,0.0,0.0,NONE,Yes
Bake & Bite,4.3 • 31 mins,Bakery,Dahisar, ₹175 OFF ABOVE ₹449,4.3,31.0,bakery,0.0,175.0,ABOVE,Yes
shree balaji foods,4.1 • 35 mins,Fast Food,Malad East, ,4.1,35.0,fast food,0.0,0.0,NONE,Yes
Shree Rameshwar Ice Cream And Falooda,4.6 • 37 mins,"Ice Cream, Beverages",Jog Gor East, ,4.6,37.0,ice cream,0.0,0.0,NONE,Yes
Baskin Robbins,38 mins,Ice Cream,Malad East, ,,38.0,ice cream,0.0,0.0,NONE,Yes
Chopsticks Pure Veg,4.1 • 35 mins,"Chinese, Continental, Indian",Borivali West, ,4.1,35.0,chinese,0.0,0.0,NONE,Yes
Mitron Kandivali,5 • 43 mins,"Italian-American, Fast Food, Salads",Malad East, ,,43.0,italian-american,0.0,0.0,NONE,Yes
UK14 Icecream,19 mins,"Bakery, Ice Cream, Beverages",Malad East, ,,19.0,bakery,0.0,0.0,NONE,Yes
Sage,4.5 • 26 mins,"Pastas, European, Continental, Italian, Cafe",Kandivali East, 20% OFF UPTO ₹50,4.5,26.0,pastas,20.0,50.0,UPTO,Yes
Bombay Chinese Co.,3.6 • 41 mins,"Thai, Chinese, Indian",Malad East, 40% OFF UPTO ₹200,3.6,41.0,thai,40.0,200.0,UPTO,Yes
Bombay Healthy Juices,4.3 • 42 mins,Juices,Borivali West, ,4.3,42.0,juices,0.0,0.0,NONE,Yes
Pooja Chinese Corner,4.1 • 45 mins,Chinese,Kandivali - West, 20% OFF ABOVE ₹700,4.1,45.0,chinese,20.0,700.0,ABOVE,Yes
Poush - Essence of Kashmir,4.3 • 52 mins,"Indian, Bengali, Mughlai",Malad West, 20% OFF ABOVE ₹700,4.3,52.0,indian,20.0,700.0,ABOVE,Yes
Taste of Italy,4.5 • 67 mins,"Continental, Italian, Fast Food",Malad Kan West, ,4.5,67.0,continental,0.0,0.0,NONE,Yes
Manaqish - Lebanese Gourmet,49 mins,"Lebanese, Salads, Snacks",Borivali West, ₹50 OFF ABOVE ₹499,,49.0,lebanese,0.0,50.0,ABOVE,Yes
Tawa Twist ( Pure Veg ),4.2 • 53 mins,"North Indian, Chinese, South Indian",Goregaon, ,4.2,53.0,north indian,0.0,0.0,NONE,Yes
Vaishalis Krustty Kremme,41 mins,"Bakery, Cakes and Pastries, Desserts",Borivali West, 20% OFF UPTO ₹125,,41.0,bakery,20.0,125.0,UPTO,Yes
Saute,4.2 • 53 mins,"Thai, Chinese, Indian, Tandoor",Malad West, ,4.2,53.0,thai,0.0,0.0,NONE,Yes
PizzAah! District,4 • 46 mins,Pizzas,Kandivali West, ,,46.0,pizzas,0.0,0.0,NONE,Yes
Satnam Golden Fast Food Centre,4.6 • 42 mins,"Fast Food, Italian, Mexican, Snacks",Kandivali West, ,4.6,42.0,fast food,0.0,0.0,NONE,Yes
The Kulfi & Falooda Project,3.9 • 52 mins,"Ice Cream, Beverages, Juices, Desserts",Malad West, ₹75 OFF ABOVE ₹300,3.9,52.0,ice cream,0.0,75.0,ABOVE,Yes
